id,revision_section,finding,verified,severity,decision,resolution,artifact,validation_check,remaining_limitation
I01,1.1,Continuation point and stale artifacts,Checked: version 3 complete; the unchanged pipeline reproduced every data output and the report byte for byte; SVG exports embedded a timestamp and random ids,low,accepted,"Reproduction recorded; SVG exports made deterministic (fixed hash salt, no date metadata)",baseline_v3/MANIFEST.json; figures/*.svg,Baseline manifest records the version-3 state,None
I02,1.2,Record hashes of the baseline,Accepted,medium,accepted,174 baseline files hashed at commit bef7b32; headline tables and a slim forecast ledger frozen,baseline_v3/,Baseline manifest records the version-3 state,"The baseline HTML report is recovered from git, not stored twice"
I03,1.3,Separate review_revision directory,"Structural preference, not a methodological defect",low,rejected,Revised in place by the owner's decision; the baseline is preserved by git commit bef7b32 plus baseline_v3/,baseline_v3/,Baseline manifest records the version-3 state,Requires git history to view the version-3 report
I04,1.4,Issue register,Accepted,medium,accepted,This register,data/processed/issue_register.csv,Every issue-register check exists and passed,None
I05,1.5 / 7.1,Forecast origins described as target months,"Confirmed: the report said ""44 monthly origins from 2023-01-31 to 2026-08-31""",medium,accepted,Origins (last closes 30 Dec 2022 - 31 Jul 2026) and target months (Jan 2023 - Aug 2026) stated separately everywhere,final report; config.json,Report distinguishes forecast origins from target months,None
I06,1.6,Established-issuer sample; ELMT descriptive,Already satisfied,low,already satisfied,Unchanged,experiment_registry.csv,Primary out-of-sample gate met (at least 36 matured targets),ELMT history too short for formal models
I07,1,Post-hoc label; decisions recorded before rescoring,Accepted,high,accepted,REVISION_SPEC.md frozen with its hash and time before any revised forecast was scored,REVISION_SPEC.md; revision_freeze.json; scoring_run.json,Revision specification frozen before scoring,The evaluation sample was seen before the revision; not a preregistered replication
I08,2,Percentile intervals and recentred p-values can disagree,Confirmed: 24 of 305 six-month-block comparisons disagreed on rejection,high,accepted,One circular block bootstrap; percentile interval and the p-value that inverts it,code/inference.py; paired_loss_comparisons.csv,Every unadjusted interval and p-value agree,Conditional on saved forecasts
I09,2,Synchronised calendar-block resampling; joint results,No joint cross-issuer inference existed,medium,accepted,Joint families RJ4 and VJ5 resample whole calendar months,inference_families.csv,Joint contrasts resample common calendar months,Equal weights across four issuers
I10,2,"Block sensitivities, seed, replications, Monte Carlo resolution","Mostly satisfied (3/6/12, 6 primary, fixed seed)",low,accepted,B = 1999 so the order-statistic interval is exact; resolution 0.001 recorded,paired_loss_comparisons.csv,Every unadjusted interval and p-value agree,None
I11,2,Separate uncertainty sources,Report did not distinguish them,medium,accepted,Stated in the metric registry and the inference section,metric_registry.csv; final report,Metric registry states the inference estimand,Estimation and search uncertainty remain unquantified
I12,2,Small-sample calibration,Not assessed,high,accepted,Empirical size by simulation under a data-mimicking null; declared descriptive-only rule,inference_calibration.csv,Calibration recorded for both tasks and all blocks,Calibration is conditional on the resampled null design
I13,2,Frozen 16-contrast family; identical forecasts untested,Degenerate detection relied on a zero interval,medium,accepted,Status from identical forecasts and specification records: tested / identical_by_exclusion / identical_by_selection,inference_families.csv,Frozen family holds four contrasts for each eligible issuer,None
I14,2,Separate declared variance family,No variance family existed,high,accepted,"V20 (per issuer) and VJ5 (joint), Holm within each",inference_families.csv,Variance family covers the controlled 2x2 matrix,Other variance comparisons exploratory
