variable,name,group,formula,units,frequency,availability,rationale,status,missing_treatment,economic_sign,transformation
market_return,Market Return,market,SPY adjusted-close compounded return during the completed origin month,fraction,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,"Past broad-market performance, not realized future market return.",implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
market_vol,Market Vol,market,Sample standard deviation of SPY daily returns in origin month,daily return fraction,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Observable market risk state before the target month.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
smallcap_return,Smallcap Return,market,IWM adjusted-close compounded return in origin month,fraction,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,"Small-cap reference, not a claim of verified issuer index membership.",implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
yield_10y,Yield 10Y,market,"Last TNX 10-year nominal yield quote, delayed one US session, /100",yield fraction,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Long-term nominal discount-rate/funding environment.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
yield_short,Yield Short,market,"Last IRX short Treasury yield quote, delayed one US session, /100",yield fraction,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Cash-rate predictor; not a realized risk-free holding-period return.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
yield_10y_change,Yield 10Y Change,market,Origin short-delayed 10-year yield minus preceding monthly value,yield-fraction change,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Rate change known at origin; 0.01 means one percentage point.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
term_spread,Term Spread,market,10-year nominal yield minus short Treasury yield,yield fraction,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Slope of the yield curve; a macro/financing-state proxy.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
vix,Vix,market,"Last available VIX close, delayed one US session, divided by 100",annualized volatility fraction,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Option-implied market volatility; different frequency/meaning from realized daily volatility.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
credit_spread,Credit Spread,market,"FRED BAMLH0A0HYM2 last quote /100, delayed one US session",spread fraction,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,High-yield credit conditions; download starts September 2023 and fails initial training coverage.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
credit_spread_change,Credit Spread Change,market,Credit-spread origin value minus preceding monthly value,spread-fraction change,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Funding-stress change; insufficient historical training coverage in this archive.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
