issuer,business_segment,exposure_start,candidate_driver,exact_series,unit_currency,transmission_channel,revenue_or_cost_exposure,possible_sign,pass_through_hedging,release_lag,vintage_quality,feature_block,inclusion_status,omission_reason,exposure_end,evidence_date,source,modelled_industry_reference,modelled_driver_series,comparability,weights
MTRN,"Performance Materials: beryllium, precious and non-ferrous alloys",2013-12-31,semiconductor production and equipment demand,SOXX total return,"index return, fraction",Customer capital spending and materials consumption drive volume,revenue,"ambiguous: demand up, input cost up",Partial metal pass-through under customer contracts,same-session index close,traded proxy; not physical chip output,industry,implemented,,2026-09-18,2026-09-18,https://data.sec.gov/submissions/CIK0001104657.json,SOXX,HG=F,Metal pass-through makes revenue margins unlike value-added margins; HCS acquisition changes mix in 2021,Qualitative classification; no present-day segment weight backfilled into history
MTRN,Performance Materials: copper beryllium and precious metals,2013-12-31,copper and precious-metal input prices,HG=F copper futures settlement,"USD/lb, monthly change","Metal cost is largely passed through, but changes working capital and reported revenue",both revenue and cost,ambiguous,Pass-through contracts; hedging disclosed qualitatively,one US session delay applied,futures series carries roll and construction effects,business,implemented,,2026-09-18,2026-09-18,https://data.sec.gov/submissions/CIK0001104657.json,SOXX,HG=F,Metal pass-through makes revenue margins unlike value-added margins; HCS acquisition changes mix in 2021,Qualitative classification; no present-day segment weight backfilled into history
MTRN,Electronic Materials and Precision Optics,2013-12-31,aerospace and defense activity,ITA total return,"index return, fraction",Defence and aerospace programme spending supports specialty demand,revenue,ambiguous,Long programme cycles blunt short-horizon transmission,same-session index close,traded proxy; not procurement data,industry,redundant-with-tested-representation,Semiconductor reference retained as the primary MTRN industry proxy,2026-09-18,2026-09-18,https://data.sec.gov/submissions/CIK0001104657.json,SOXX,HG=F,Metal pass-through makes revenue margins unlike value-added margins; HCS acquisition changes mix in 2021,Qualitative classification; no present-day segment weight backfilled into history
MTRN,Beryllium mining and Utah operations,2021-01-01,beryllium ore supply and demand,beryllium price series,USD/unit,Input scarcity affects cost and pricing power,both revenue and cost,ambiguous,n/a,n/a,no accessible historical series established,business,unavailable,No liquid public beryllium price history; no series invented,2026-09-18,2026-09-18,https://data.sec.gov/submissions/CIK0001104657.json,SOXX,HG=F,Metal pass-through makes revenue margins unlike value-added margins; HCS acquisition changes mix in 2021,Qualitative classification; no present-day segment weight backfilled into history
ENTG,Materials Solutions and Microcontamination Control,2013-12-31,semiconductor production and wafer-fab equipment demand,SOXX total return,"index return, fraction",Wafer starts and fab capex drive consumable and filtration volume,revenue,ambiguous,Consumable mix is less cyclical than equipment,same-session index close,traded proxy; not wafer-start data,industry,implemented,,2026-09-18,2026-09-18,https://data.sec.gov/submissions/CIK0001101302.json,SOXX,NG=F,"CMC acquisition in 2022, subsequent disposals, debt and acquired-intangible amortization affect comparisons",Qualitative classification; no present-day segment weight backfilled into history
ENTG,Advanced Materials Handling,2013-12-31,energy and manufacturing input costs,NG=F natural gas futures settlement,"USD/MMBtu, monthly change",Process energy and resin feedstock costs affect gross margin,cost,ambiguous,No quantified hedge disclosure used,one US session delay applied,"indirect cost hypothesis, no disclosed weight",business,implemented,Economic hypothesis only; not a disclosed exposure weight,2026-09-18,2026-09-18,https://data.sec.gov/submissions/CIK0001101302.json,SOXX,NG=F,"CMC acquisition in 2022, subsequent disposals, debt and acquired-intangible amortization affect comparisons",Qualitative classification; no present-day segment weight backfilled into history
ENTG,CMC Materials acquisition (2022) and subsequent disposals,2022-07-06,acquisition and disposal accounting,segment revenue weights,fraction,Mix and intangible amortisation shift the comparable history,both revenue and cost,ambiguous,n/a,filing date,disclosed qualitatively only,financial,incomparable,Current segment weights must not be projected backward,2026-09-18,2026-09-18,https://data.sec.gov/submissions/CIK0001101302.json,SOXX,NG=F,"CMC acquisition in 2022, subsequent disposals, debt and acquired-intangible amortization affect comparisons",Qualitative classification; no present-day segment weight backfilled into history
CRS,Specialty Alloys Operations,2013-12-31,aerospace engine demand and deliveries,ITA total return,"index return, fraction",Engine build rates drive alloy volume and mix,revenue,ambiguous,Long-term agreements smooth transmission,same-session index close,traded proxy; not delivery counts,industry,implemented,,2026-09-18,2026-09-18,https://data.sec.gov/submissions/CIK0000017843.json,ITA,NG=F,June fiscal year end; surcharge sales differ from sales excluding surcharge; no equivalence to MTRN VA sales,Qualitative classification; no present-day segment weight backfilled into history
CRS,Specialty Alloys Operations: raw material surcharges,2013-12-31,"nickel, cobalt and titanium input prices",no accessible historical alloy input index,USD/lb,Surcharge mechanisms recover input cost with a lag,both revenue and cost,ambiguous,Surcharge recovery lag is disclosed qualitatively,n/a,no comparable free series established,business,unavailable,Surcharge-inclusive and surcharge-excluded sales are not separable from XBRL alone,2026-09-18,2026-09-18,https://data.sec.gov/submissions/CIK0000017843.json,ITA,NG=F,June fiscal year end; surcharge sales differ from sales excluding surcharge; no equivalence to MTRN VA sales,Qualitative classification; no present-day segment weight backfilled into history
CRS,Performance Engineered Products,2013-12-31,energy and industrial activity,NG=F natural gas futures settlement,"USD/MMBtu, monthly change",Melting and forging energy intensity affects cost,cost,ambiguous,No quantified hedge disclosure used,one US session delay applied,indirect cost hypothesis,business,implemented,,2026-09-18,2026-09-18,https://data.sec.gov/submissions/CIK0000017843.json,ITA,NG=F,June fiscal year end; surcharge sales differ from sales excluding surcharge; no equivalence to MTRN VA sales,Qualitative classification; no present-day segment weight backfilled into history
