number,name,rows,columns,caption
1,Research questions and how each is tested,8,"['ID', 'Research question', 'Comparison', 'Evaluation', 'Addendum RQ']","Eight registered experiments, in the order the report presents them. Each links to a predeclared comparison family; an eligibility failure produces a documented unanswered question rather than a silent omission. The final column cross-references the RQ numbering used in the execution addendum, which groups the same comparisons differently."
2,Financial and valuation availability by issuer,4,"['Company', 'Candidate financial/valuation variables', 'Mean descriptive nonmissing share', 'Eligible in every one of the 44 training windows', 'Eligible in no training window']","The first share is descriptive, over origin rows from December 2015. The two counts are training eligibility: in how many of the 44 expanding training windows each variable cleared the training-only 70% gate. ELMT is excluded from every fitted model."
3,Economic exposure map,15,"['issuer', 'business_segment', 'candidate_driver', 'exact_series', 'transmission_channel', 'revenue_or_cost_exposure', 'possible_sign', 'evidence_strength', 'proxy_type', 'mapping_basis', 'inclusion_status', 'omission_reason']","Economic relevance is recorded before any statistical selection. SOXX and ITA are traded equity proxies, not physical demand indicators, so their failure to forecast does not disprove the operating mechanism. Natural gas is a weak, exploratory cost hypothesis for ENTG, CRS and ATI. The mapping describes present-day segments and is not a point-in-time historical mapping. A driver marked unavailable stays unavailable: no commodity index is substituted for a price history that does not exist."
4,The six compact predictors used in every common-input comparison,6,"['Reader-facing name', 'Block', 'Exact formula', 'Units', 'Why it is included']","These six are fixed in configuration by economic priority, not chosen by fit, and are shared by the static, distributed-lag and dynamic families so that only model structure differs between them. The compact model is the main interpretable reference; the broad catalogue is a sensitivity. industry_relative and driver_return are issuer-specific: SOXX for MTRN and ENTG, ITA for CRS and ATI; copper for MTRN, natural gas (exploratory) for the others. The full dictionary of every implemented variable is in the appendix."
5,Scoring criteria and how to read them,18,"['Criterion', 'Formula', 'Preferred direction', 'Interpretation and caution']","Return models are ranked primarily on RMSE and out-of-sample R²; variance models on QLIKE. Variance and volatility losses are never mixed, and directional accuracy is only applied to signed targets."
6,Return benchmarks and the main model families,52,"['Company', 'Model', 'Months', 'RMSE (pp)', 'MAE (pp)', 'OOS R²', 'Direction (%)', 'Forecast corr.']","All models share the same origins, outcomes and historical-mean denominator. Out-of-sample R² below zero means larger total squared error than the benchmark a forecaster could actually have used."
7,E1 paired comparisons,8,"['Comparison', 'Company', 'Months', 'Loss metric', 'Mean loss reduction (pp²)', 'Lower 95%', 'Upper 95%', 'Unadjusted p', 'Identical forecasts (share of months)']","Positive means the expanded model reduced squared error. Intervals are 95% pointwise moving-block, six-month blocks, on matched dates."
8,Clark–West sensitivity for fixed nested OLS forecasts,16,"['Company', 'Larger model', 'Nested model', 'Months', 'Adjusted MSPE difference (pp²)', 'Newey–West t', 'One-sided p', 'MSPE nested (pp²)', 'MSPE larger (pp²)']","Clark–West adds back the noise a larger model pays for estimating extra coefficients that are zero under the null, so it asks whether the extra predictors carry population predictive content. It is not a test that the larger model forecast more accurately in this sample, it is applied only to untuned nested OLS pairs, and it is outside every multiplicity family."
9,Exploratory: compact model plus cash generation and leverage,8,"['Comparison', 'Company', 'Months', 'Loss metric', 'Mean loss reduction (pp²)', 'Lower 95%', 'Upper 95%', 'Unadjusted p', 'Identical forecasts (share of months)']","fcf_equipment_assets and debt_assets are added together as one predefined group, declared before rescoring but after the version-3 results were seen. Equipment-capex cash flow is not reconciled free cash flow."
10,E2 paired comparisons,12,"['Comparison', 'Company', 'Months', 'Loss metric', 'Mean loss reduction (pp²)', 'Lower 95%', 'Upper 95%', 'Unadjusted p', 'Identical forecasts (share of months)']",The middle row is the frozen primary contrast. All three use identical dates on both sides and retune both sides inside the same inner folds.
