number,key,title,subtitle,caption,png,svg,source
1,timeline,A chronological experiment with nested validation,Primary horizon: next calendar month; common target sample for all eligible models,"The first 84 completed monthly targets train the January 2023 forecast. Inner validation is inside that training history; every later outer origin expands the history and refits. Annual retuning reuses only preceding validation targets. The independent unit is the month, not each company-month row.",01_timeline.png,01_timeline.svg,01_timeline_source.csv
2,coverage,Availability is not the same as training eligibility,Left: nonmissing share over origin rows December 2015-August 2026 - right: share of the 44 actual training windows in which a candidate passed the 70% gate,"The left panel is descriptive: it averages nonmissing share over a longer sample than any model is trained on. The right panel is the operative one: for each candidate it records in how many of the 44 expanding training windows the variable cleared the training-only 70% coverage gate, then averages within the group. A group can look well covered descriptively while individual variables fail in the early windows, as the high-yield credit spread does from its 2023 archive start. The coverage shown follows the version-3 extraction repairs for Entegris equity, Carpenter trailing earnings and Materion free cash flow.",02_coverage.png,02_coverage.svg,02_coverage_source.csv
3,calibration,The paired test over-rejects on heavy-tailed variance losses,Empirical size at nominal 5% from 500 synthetic null samples per series and block length (95% Monte Carlo bars),"Each synthetic sample resamples the demeaned observed loss differential with random-length blocks, preserving its tails and serial dependence while making the true mean zero. A calibrated test rejects about 5% of the time. The variance series, whose QLIKE differentials are dominated by a few months, reject far more often, so their p-values are reported as descriptive. The return panel shows the supplementary dense series (compact OLS); the declared return series (gradient boosting) is identically zero for MTRN and ENTG because validation chose the intercept-only benchmark, and is reported in the calibration table.",03_calibration.png,03_calibration.svg,03_calibration_source.csv
4,return_models,More elaborate return models rarely improve the benchmark,44 one-month targets per company • January 2023–August 2026,"Models use the same forecast dates and historical-mean denominator. The historical mean is the denominator, so its own bar is exactly zero by construction and none is drawn. Negative R² means larger squared errors than the origin-available mean. Identical axes preserve cross-company comparability; the full tables also report MAE, direction and correlation.",04_return_models.png,04_return_models.svg,04_return_models_source.csv
5,protocol_ablation,Adding information in the protocol order changes little out of sample,Historical mean → financial → valuation → changes/lags → market → industry → business drivers • 44 matched target months,"Company colours are shared by both panels and shown once, in the left legend. The left panel scores each cumulative stage against its own origin-available historical mean; the right shows the paired month-by-month loss change relative to the immediately preceding stage, with 95% circular-block intervals (six-month blocks). A zero-width interval at zero means both stages produced identical forecasts, usually because validation chose the intercept-only benchmark for both. This ordering does not uniquely allocate information shared between blocks, which is why the market-first ladder and the leave-one-block-out checks are reported beside it.",05_protocol_ablation.png,05_protocol_ablation.svg,05_protocol_ablation_source.csv
6,return_paths,MTRN forecasts explain little of its monthly swings,Out-of-sample targets January 2023–August 2026 • horizon one month,"Black is realized adjusted-close return; all other lines were generated at the preceding month’s final close. The pooled booster is displayed as a tested comparison, not a prospectively selected winner. Forecast intervals are not estimated.",06_return_paths.png,06_return_paths.svg,06_return_paths_source.csv
7,ablation,Incremental factors have different effects across issuers,Historical mean → market → financial → valuation → momentum → risk → industry → business → dynamics → interactions,Each row refits and retunes the cumulative Ridge specification on the same 44 target months. Improvements between rows are order-dependent. Full-minus-block checks provide a second view; zero or unchanged results can also arise when the added factor fails coverage.,07_ablation.png,07_ablation.svg,07_ablation_source.csv
8,transformations,Differences and lags are separate empirical questions,"44 target months • 95% pointwise circular-block intervals, six-month blocks","P/E representations are compared with P/E level; financial changes and all-core lag models are compared with Compact Ridge. Intervals condition on saved forecasts and are not adjusted for model search. A point fixed at zero with no interval means identical forecasts on both sides - for ATI the P/E input failed the coverage gate - which is an untested contrast, not economic equivalence.",08_transformations.png,08_transformations.svg,08_transformations_source.csv
9,importance,Random Forest importance does not identify causal drivers,Return forecasts • 20 group permutations in three-month blocks across 44 target origins,"Positive values indicate worse error when the group is disturbed. Bars are one permutation standard deviation, not confidence intervals. Saved origin-specific models stay fixed; shuffling can break cross-group dependence, so this retrospective diagnostic is interpreted alongside controlled ablations.",09_importance.png,09_importance.svg,09_importance_source.csv
10,cumulative_loss,"Any advantage arrives in a few months, not steadily",Cumulative paired squared-error difference for the four prespecified contrasts • January 2023–August 2026,"Each line accumulates the reduced model’s squared error minus the expanded model’s, so a rising line favours the expanded model. A step change identifies a single influential month rather than a persistent edge; a flat line means the two models effectively agreed. Panels use issuer-specific vertical scales because the magnitudes differ by an order of magnitude, so heights must not be compared across panels — only shapes. Lines stop where matched forecasts are unavailable and are not connected across gaps.",10_cumulative_loss.png,10_cumulative_loss.svg,10_cumulative_loss_source.csv
11,errors,Residual dependence alone does not establish a forecast advantage,"MTRN • 44 saved one-month forecast errors, January 2023–August 2026","The left panel shows forecast misses; the right shows lag-1 through lag-6 error autocorrelation. This is a post-evaluation diagnostic, not another tuning opportunity. No IID confidence bands are imposed on the short, adaptively fitted error sequence.",11_errors.png,11_errors.svg,11_errors_source.csv
12,rolling,Model rankings can change as the evaluation window moves,MTRN • 12-target-month rolling errors • December 2023–August 2026,Every point uses the latest 12 already realized out-of-sample targets; lower values are better. Windows overlap and must not be counted as independent evidence. Return and variance panels use different loss functions with explicit units.,12_rolling.png,12_rolling.svg,12_rolling_source.csv
13,horizons,"Longer-horizon results are a sensitivity, not independent confirmation",Both horizons on the same 38 forecast origins (April 2023 - May 2026 month-end labels) • targets: the next month vs the next three months,"Both horizons use the same origins, so the comparison is not confounded by different sample periods; the targets still differ (one month vs three overlapping months). Each horizon uses its own matured historical-mean benchmark. Overlapping three-month outcomes are strongly dependent: 38 of them carry far less information than 38 independent months. All three nonoverlapping offsets, 12-13 outcomes each, are reported separately.",13_horizons.png,13_horizons.svg,13_horizons_source.csv
